key,nome,nomeunita1,daprof,aprof,litologia,etarel,a
574377,78,LIGURIDI S.L.,0.0,340.0,ARGILLITE-CALCARE MICRITICO-CALCARE MARNOSO,ETA' IMPRECISATA,
693233,79,LIGURIDI S.L.,0.0,350.0,ARGILLITE-CALCARE MARNOSO-CALCARE MICRITICO,ETA' IMPRECISATA,
1003337,81,LIGURIDI S.L.,0.0,280.0,CALCARE MARNOSO-ARGILLITE,CRETACEO,EOCENE
5534003,82,LIGURIDI S.L.,0.0,453.0,ARGILLITI E CALCARI,EOCENE SUP.,CRETACEO INF.
1009203,86,LIGURIDI S.L.,0.0,69.55,ARGILLITE-CALCARE MARNOSO,CRETACEO,EOCENE
1009359,87,LIGURIDI S.L.,0.0,46.4,ARGILLITE-CALCARE MARNOSO,CRETACEO,EOCENE
5243006,88,VULCANITI,0.0,94.0,PIROCLASTITI E LAVE,QUATERNARIO,
5535012,89,LIGURIDI S.L.,0.0,348.3,ARGILLITI E CALCARI,EOCENE SUP.,CRETACEO INF.
1008416,90,LIGURIDI S.L.,0.0,65.6,ARGILLITE-CALCARE MARNOSO,CRETACEO,EOCENE
1001982,91,LIGURIDI S.L.,0.0,430.0,ARGILLITE-CALCARE MARNOSO,CRETACEO,EOCENE
1003185,92,LIGURIDI S.L.,0.0,161.0,ARGILLITE-CALCARE MARNOSO,CRETACEO,EOCENE
751172,93,LIGURIDI S.L.,0.0,94.3,ARGILLITE-CALCARE MARNOSO,CRETACEO,EOCENE
248639,94,LIGURIDI S.L.,0.0,479.0,ARGILLITE-CALCARE MARNOSO/SILICEO,CRETACEO,EOCENE
534355,97,LIGURIDI S.L.,0.0,533.0,ARGILLITE-CALCARE MARNOSO,,
1000633,98,LIGURIDI S.L.,0.0,437.0,ARGILLITE-CALCARE MARNOSO,CRETACEO,EOCENE
604622,99,LIGURIDI S.L.,0.0,262.0,ARGILLITE-CALCARE MARNOSO/SILICEO,CRETACEO,EOCENE
76775,100,LIGURIDI S.L.,0.0,613.0,ARGILLITE-CALCARE MARNOSO,CRETACEO,EOCENE
590093,101,LIGURIDI S.L.,0.0,424.0,ARGILLITE-CALCARE MARNOSO/SILICEO,CRETACEO,EOCENE
335965,102,LIGURIDI S.L.,0.0,615.0,ARGILLITE-CALCARE MARNOSO,CRETACEO,EOCENE
598608,103,GRUPPO FORMAZIONI POSTOROGENICHE,0.0,225.0,ARGILLA-CONGLOMERATO,NEOGENE,
1008909,104,LIGURIDI S.L.,0.0,518.55,ARGILLITE-CALCARE MARNOSO,CRETACEO,EOCENE
785016,105,LIGURIDI S.L.,0.0,505.0,ARGILLITE-CALCARE MARNOSO,ETA' IMPRECISATA,
403729,106,LIGURIDI S.L.,0.0,370.0,ARGILLITE-CALCARE MARNOSO,ETA' IMPRECISATA,
670021,107,GRUPPO FORMAZIONI POSTOROGENICHE,0.0,210.0,ARGILLA,NEOGENE,
1005093,108,LIGURIDI S.L.,0.0,605.0,ARGILLITE-CALCARE MARNOSO,CRETACEO,EOCENE
44729,109,LIGURIDI S.L.,0.0,354.0,ARGILLITE-CALCARE MARNOSO,ETA' IMPRECISATA,
268933,110,LIGURIDI S.L.,0.0,570.0,CALCARE MARNOSO-ARGILLITE,ETA' IMPRECISATA,
238838,111,LIGURIDI S.L.,0.0,637.0,CALCARE MARNOSO-ARGILLITE,ETA' IMPRECISATA,
339072,112,CALCAREO-MARNOSA F.L.,0.0,520.0,MARNA-CALCARE-MARNOSO-ARGILLITE-ARENARIA CEM. CARB.,CRETACEO-SUP,
196025,113,CALCAREO-MARNOSA F.L.,0.0,520.0,CALCARE SELCIFERO-ARENARIA CEM. CARB.-ARGILLITE,CRETACEO-SUP,
990964,114,GRUPPO FORMAZIONI POSTOROGENICHE,0.0,44.0,ARGILLA-CONGLOMERATO,PLIOCENE,
